grid_id,code,name_th,latitude,longitude,spacing_km,boundary_source,boundary_status
GRID5K_0001,G5-0001,กริดพยากรณ์ 5 กม. 0001,17.279261,98.964301,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0002,G5-0002,กริดพยากรณ์ 5 กม. 0002,17.324177,98.870062,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0003,G5-0003,กริดพยากรณ์ 5 กม. 0003,17.324177,98.917181,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0004,G5-0004,กริดพยากรณ์ 5 กม. 0004,17.324177,98.964301,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0005,G5-0005,กริดพยากรณ์ 5 กม. 0005,17.369092,98.870062,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0006,G5-0006,กริดพยากรณ์ 5 กม. 0006,17.369092,98.917181,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0007,G5-0007,กริดพยากรณ์ 5 กม. 0007,17.369092,98.964301,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0008,G5-0008,กริดพยากรณ์ 5 กม. 0008,17.414008,98.917181,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0009,G5-0009,กริดพยากรณ์ 5 กม. 0009,17.458923,98.681583,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0010,G5-0010,กริดพยากรณ์ 5 กม. 0010,17.458923,98.728702,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0011,G5-0011,กริดพยากรณ์ 5 กม. 0011,17.458923,98.870062,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0012,G5-0012,กริดพยากรณ์ 5 กม. 0012,17.458923,98.917181,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0013,G5-0013,กริดพยากรณ์ 5 กม. 0013,17.503839,98.728702,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0014,G5-0014,กริดพยากรณ์ 5 กม. 0014,17.503839,98.775822,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0015,G5-0015,กริดพยากรณ์ 5 กม. 0015,17.503839,98.822942,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0016,G5-0016,กริดพยากรณ์ 5 กม. 0016,17.503839,98.870062,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0017,G5-0017,กริดพยากรณ์ 5 กม. 0017,17.503839,98.917181,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0018,G5-0018,กริดพยากรณ์ 5 กม. 0018,17.548755,98.728702,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0019,G5-0019,กริดพยากรณ์ 5 กม. 0019,17.548755,98.775822,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0020,G5-0020,กริดพยากรณ์ 5 กม. 0020,17.548755,98.822942,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0021,G5-0021,กริดพยากรณ์ 5 กม. 0021,17.548755,98.870062,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0022,G5-0022,กริดพยากรณ์ 5 กม. 0022,17.593670,98.681583,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0023,G5-0023,กริดพยากรณ์ 5 กม. 0023,17.593670,98.728702,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0024,G5-0024,กริดพยากรณ์ 5 กม. 0024,17.593670,98.775822,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0025,G5-0025,กริดพยากรณ์ 5 กม. 0025,17.593670,98.822942,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0026,G5-0026,กริดพยากรณ์ 5 กม. 0026,17.593670,98.870062,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0027,G5-0027,กริดพยากรณ์ 5 กม. 0027,17.638586,98.728702,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0028,G5-0028,กริดพยากรณ์ 5 กม. 0028,17.638586,98.822942,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0029,G5-0029,กริดพยากรณ์ 5 กม. 0029,17.638586,98.870062,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0030,G5-0030,กริดพยากรณ์ 5 กม. 0030,17.683501,98.775822,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0031,G5-0031,กริดพยากรณ์ 5 กม. 0031,17.683501,98.822942,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0032,G5-0032,กริดพยากรณ์ 5 กม. 0032,17.728417,98.728702,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
GRID5K_0033,G5-0033,กริดพยากรณ์ 5 กม. 0033,17.728417,98.775822,5.0,OpenStreetMap relation 6004000,provisional_secondary_osm
